trip_id,start_time,end_time,headway_secs,exact_times
8d3477b4-3759-402e-8697-88e757bef2a5,07:37:00,07:51:00,840,0
912813cf-8c1e-4a22-bea4-8fb6e45350de,07:40:00,08:10:00,1800,0
008701a0-ab7a-4d80-ab46-2275a78a1629,16:03:00,16:23:00,1200,0
4ef60e12-c990-4cfd-9c86-1b7badf58897,20:21:00,20:51:00,1800,0
65eb9bdb-5b2b-4c22-9aa5-33c8f600e490,19:35:00,19:50:00,900,0
3e94a1db-13dc-4f28-8fea-e4e5ed75e99e,14:00:00,14:09:00,540,0
5450d4c3-3d13-4d65-945b-2a50c8b1cbfd,13:40:00,22:40:00,3600,0
2fa189c1-0f7a-4796-8cf2-8a067d2eee7f,06:00:00,20:40:00,2400,0
5e790461-4afa-4e75-928a-3f0c37b665e7,21:40:00,23:20:00,3000,0
b845e750-db8c-470c-bae5-de0f20c94246,16:00:00,20:00:00,1800,0
c6ffe6df-cd25-423e-85fb-c0cbc915ad92,06:00:00,22:00:00,1800,0
4b2412a1-4a0e-44ce-97e8-550b9b1c57c3,06:00:00,22:00:00,1800,0
95d4161e-e225-4254-bd3c-17a859aca5e5,06:10:00,16:30:00,1200,0
3af56dd6-3d59-4a66-a0a7-39e12957a317,14:15:00,22:25:00,4200,0
77e5144d-0f82-43c0-a95e-475a6146b82a,14:45:00,22:45:00,3600,0
3fd12620-956c-4833-8a42-fd52d5875c01,09:56:00,11:02:00,660,0
e8fd400c-1557-4843-ab28-4c41049c98c5,12:30:00,13:00:00,900,0
c5077896-8ab8-4ece-8e6a-4634107d91de,07:31:00,07:51:00,600,0
2e30739f-f118-43dd-8b7c-b81e2771e0f4,21:26:00,22:10:00,1320,0
aa3e95b0-5137-4b9c-92de-7cb116d6a0c0,06:18:00,06:24:00,360,0
54aaf8e9-caf7-447b-a79c-6c7aee5e2b8c,11:08:00,11:18:00,300,0
39e3066d-c697-46bd-9f80-17115d0ffd88,14:29:00,14:50:00,1260,0
fb6b2a77-c310-4255-b48e-5f08d251e28b,12:00:00,20:00:00,600,0
dc23cd0d-c270-4361-a10f-d993d488b5d3,20:00:00,22:40:00,2400,0
0be87159-3655-41a7-8cb0-58aa22c7315c,11:28:00,12:16:00,720,0
fc6203d6-1d6f-485a-9a72-b6352b60e80d,07:55:00,08:17:00,1320,0
05d5914b-1ca7-459a-bab1-e0c8eded53c1,08:17:00,09:03:00,1380,0
942d6e61-e62b-4e70-81c6-6bde78d2e49d,05:20:00,05:24:00,240,0
220422a2-06ec-416c-a60c-eea45cb7f466,04:54:00,04:58:00,240,0
feca56f3-16b6-4d74-94e3-6421d2fb6294,06:00:00,07:00:00,900,0
8b74190e-72ad-4f40-862c-b7d2d9b655a7,21:50:00,27:50:00,3600,0
036e371a-f3fe-4a03-8811-727f28dd618c,20:10:00,22:50:00,1200,0
6309a91b-769d-4845-bae0-f0550750890c,11:57:00,12:06:00,540,0
1806e9da-6075-4af9-b9aa-122baff54f1b,08:30:00,08:55:00,1500,0
977ee863-ffae-48ae-8d87-4fd359793909,04:05:00,05:05:00,1800,0
1a13da82-3ca3-4d61-bf14-8febd97632e6,05:40:00,14:40:00,1200,0
c665fa80-5a94-4897-bcc7-00b927afc34e,14:40:00,14:55:00,900,0
cb67e044-4e65-44a5-9c86-1f6c94edaa82,21:40:00,22:20:00,600,0
7a0f398a-3ccc-488f-9e0f-a17609cb7635,06:35:00,07:55:00,2400,0
5f2c4b7e-c508-4717-90ef-c4154c5028ea,21:50:00,27:50:00,3600,0
43308fad-0114-4ae8-b60c-213324b07893,21:50:00,27:50:00,3600,0
bbb69273-ca69-417c-b37d-657295e27246,05:42:00,22:12:00,3300,0
fe5492e4-ad0e-4a49-a462-bec035bd1645,22:50:00,28:50:00,3600,0
71655f51-bb84-4687-ac84-c9999775eeb6,14:23:00,21:05:00,4020,0
c25be6c3-46a4-4c39-a805-30245f47f1f0,22:50:00,28:50:00,3600,0
24f7ae5a-76e8-447f-89e1-855adec0684f,22:50:00,28:50:00,3600,0
eabe3133-abaa-422c-bb3f-1341c4b4b634,17:42:00,17:48:00,360,0
fa4423c3-d83d-427a-bdfd-cd0627ef2452,21:30:00,22:10:00,2400,0
6f793161-f1a1-409e-92e5-49f9be334a8b,05:29:00,05:36:00,420,0
