trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
e4edd976-0be0-4fbf-8fe0-0197f1bae864,O0010AAA0A,S_REG,Bairro de Fátima,010,1,53gi
60b0f597-9178-45c4-ae57-a6f340b78a01,O0878AAV0A,D_REG,Terminal Tanque,SV878,1,ussh
04cf82b7-0f97-433f-91c9-71a2d8a7c786,O0010AAA0A,S_REG,Central do Brasil,010,0,01o6
24b0f792-2aae-4ce9-bb69-065adc05c027,O0853AAV0A,D_REG,Terminal Mato Alto,SV853,1,mtwu
e11d5f74-7029-44e2-b29b-4dcacbf6474c,O0853AAV0A,D_REG,Terminal Mato Alto,SV853,1,mtwu
a2f93367-6ebd-43c9-bbed-be4ac2be263a,O0853AAV0A,D_REG,Terminal Mato Alto,SV853,1,mtwu
12f400a9-f95a-4b19-b984-759ee964b0ad,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
159034a1-cb4c-4104-b874-651e442b5639,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
4ad51e27-ea3f-4683-8220-acaf12f758d9,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
3182f026-5adc-4b9f-a6c9-081c2b635642,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
96b24f52-f33f-47d3-a696-b697e2373acf,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
ccb84c4c-a8e3-47b3-b093-2af8388bfdc0,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
06e8bc6d-92fb-4d41-b738-b170ac838779,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
68c72b7b-0694-490d-90bb-5f4b3b4f8c1e,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
31f8addf-d1df-46ec-971d-f7cd7070ea17,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
bcb9a768-ef9b-439a-9a77-659103af541d,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
6a449a6e-046f-40af-9731-ee044c6904df,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
b5508668-adc6-426b-90a8-0b1f6109cdc7,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
1a0898a1-615d-44fb-a8da-236e860f2285,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
fe27b1ec-7d76-42b1-bbca-2e6edd04417b,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
eb16b402-94a0-4dff-974e-45e5aea39b8e,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
dd2a2821-e6e5-4b4e-a7b1-f4c78fd29da1,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
e075d38e-8cc6-4b49-b37d-df4c6cc24b86,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
7dffa385-f773-4e06-aa95-6e7827761db4,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
72c283d0-4ecf-4921-ad37-94a6c40f81ef,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
aaea8669-d2ba-497c-a898-3dca5a7ee5c4,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
4c8527d2-81d4-459a-a9da-b04d10a54079,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
e91072d5-3cb7-435f-8139-c4b4033f2233,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
41ea48b4-23b6-439c-8f76-0ca46a44063e,O0905AAA0A,S_REG,Irajá,905,0,O0905AAA0AIDU01
cd9c773c-1e43-49de-9ed2-32325ccfe112,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
b1cac805-ad2e-457b-9eff-70e1f66d1c63,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
20f9540b-5732-49ae-9632-f8a4e8dc0d31,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
08ef1b35-ca2a-49df-966e-cb0c1c14375c,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
72aa18e2-6929-4472-9bd1-3e5eab57dafb,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
807a1882-aaa3-42b2-91cd-b80bb67ddb33,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
4c18ded1-a06c-42fd-bb80-bd23c89120da,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
8ee41e03-0c34-4205-93b1-a1e43acc7040,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
761bc9e6-e396-4ca0-933d-4de6a4e7cbb5,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
4b41ff9e-6ea9-4d60-9d10-a7d896e5efbf,O0905AAA0A,S_REG,Bonsucesso,905,1,O0905AAA0AVDU01
